id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label,home_score,away_score,status,result_note
94,94,13,25,11,3,2026-07-06 20:00:00-07,W81 vs W82,1,4,final,
95,95,37,26,1,3,2026-07-07 12:00:00-04,W86 vs W88,3,2,final,
96,96,8,44,13,3,2026-07-07 16:00:00-07,W85 vs W87,0,0,final,Switzerland won 4–3 on penalties
97,97,10,33,2,4,2026-07-09 16:00:00-04,W89 vs W90,0,2,final,
98,98,29,25,6,4,2026-07-10 15:00:00-07,W93 vs W94,2,1,final,
99,99,36,45,7,4,2026-07-11 17:00:00-04,W91 vs W92,1,2,final,after extra time
100,100,37,8,5,4,2026-07-11 21:00:00-05,W95 vs W96,3,1,final,after extra time
101,101,33,29,3,5,2026-07-14 15:00:00-05,W97 vs W98,0,2,final,
102,102,45,37,1,5,2026-07-15 15:00:00-04,W99 vs W100,1,2,final,
103,103,33,45,7,6,2026-07-18 17:00:00-04,RU101 vs RU102,,,scheduled,
104,104,29,37,8,7,2026-07-19 15:00:00-04,W101 vs W102,,,scheduled,
